Date,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW
2/4/1988,151,3.0879,0.0017,-0.3132,0.0171,0.2407
2/5/1988,-93,3.0086,-0.0139,-0.3313,0.0272,0.2328
2/11/1988,-93,3.0086,0.0247,-0.132,0.0104,0.2957
3/30/1988,331,3.2128,0.0314,0.3004,0.0277,0.7189
4/4/1988,62,3.2339,0.0568,0.2026,0.0277,0.7032
4/5/1988,62,3.2339,0.0327,0.3036,0.0114,0.701
4/6/1988,62,3.2339,0.0452,0.1849,-0.0027,0.6946
5/9/1988,-80,3.1356,0.0207,0.1933,0.0319,0.4126
5/10/1988,-80,3.1356,0.017,0.1383,0.0292,0.3935
5/18/1988,-80,3.1356,-0.0087,0.1323,0.0611,0.2955
5/19/1988,-80,3.1356,-0.0332,0.1863,0.0562,0.2737
5/20/1988,-80,3.1356,-0.026,0.1271,0.07,0.2542
5/25/1988,-80,3.1356,-0.0467,0.1776,0.0756,0.2182
5/26/1988,-80,3.1356,-0.0434,0.1687,0.0671,0.2154
6/17/1988,-14,3.1296,0.0136,-0.2175,0.1283,0.1728
6/20/1988,-14,3.1296,0.0075,-0.2726,0.1349,0.1765
7/1/1988,-14,3.1296,0.0504,-0.5275,0.0961,0.1617
7/19/1988,121,3.3068,0.0406,-0.4522,0.0744,0.2423
7/20/1988,121,3.3068,0.0329,-0.4717,0.0676,0.2453
8/9/1988,35,3.1793,0.0423,-0.6643,0.0322,0.37
8/17/1988,35,3.1793,0.0146,-0.6532,0.0091,0.3355
9/21/1988,-10,3.1277,-0.0035,-0.5758,-0.1183,0.1405
11/2/1988,-28,3.2266,0.0249,-0.6204,-0.0537,0.2925
11/7/1988,93,2.9972,0.016,-0.5127,-0.0499,0.3262
11/8/1988,93,2.9972,0.0102,-0.516,-0.044,0.3426
12/15/1988,213,3.0909,0.029,-0.697,-0.009,0.2195
1/6/1989,29,3.0749,0.0313,-0.5609,0.0896,0.2581
1/9/1989,29,3.0749,0.0365,-0.6094,0.0936,0.2586
1/10/1989,29,3.0749,0.033,-0.5977,0.0808,0.2712
2/9/1989,153,3.2319,0.0777,-0.8891,0.0346,0.2802
2/14/1989,153,3.2319,0.0679,-0.7009,0.0139,0.2484
2/23/1989,153,3.2319,0.0948,-0.4929,0.0584,0.2321
2/24/1989,153,3.2319,0.0917,-0.5739,0.062,0.2226
3/29/1989,47,3.0365,0.05,-0.5872,0.029,0.2315
5/17/1989,-103,2.8789,0.0766,-0.0258,0.0353,0.2368
6/6/1989,-99,2.7727,0.1049,0.0926,-0.0209,0.246
7/7/1989,-18,2.5321,0.0851,0.4755,-0.0456,0.1813
