date,unscheduled,fomc_latest,main,mp1,mp2,ff1,ff2,ff3,ff4,ff5,ff6,ed1,ed2,ed3,ed4,ed5,ed6,ed7,ed8,ust3m,ust6m,ust2y,ust5y,ust10y,ust30y,sp500,spfut,eurusd,ff4_mr,nfp_surp,nfp_12m,sp500_3m,slope_3m,bcom_3m,tr_skew,sep,pc,ois1y,ois2y,tips5y,tips10y,tips30y,dxy,usdjpy,mr_fomc,daten,raw_date,raw_daten,FOMCdate,GBdate,GBpubDate,fomc,DATE,gRGDPB4,gRGDPB3,gRGDPB2,gRGDPB1,gRGDPF0,gRGDPF1,gRGDPF2,gRGDPF3,gRGDPF4,gRGDPF5,gRGDPF6,gRGDPF7,gRGDPF8,gRGDPF9,gPGDPB4,gPGDPB3,gPGDPB2,gPGDPB1,gPGDPF0,gPGDPF1,gPGDPF2,gPGDPF3,gPGDPF4,gPGDPF5,gPGDPF6,gPGDPF7,gPGDPF8,gPGDPF9,UNEMPB4,UNEMPB3,UNEMPB2,UNEMPB1,UNEMPF0,UNEMPF1,UNEMPF2,UNEMPF3,UNEMPF4,UNEMPF5,UNEMPF6,UNEMPF7,UNEMPF8,UNEMPF9,gb,gbYQ,DgRGDPB1,DgRGDPF0,DgRGDPF1,DgRGDPF2,DgRGDPF3,DgPGDPB1,DgPGDPF0,DgPGDPF1,DgPGDPF2,DgPGDPF3,DUNEMPB1,DUNEMPF0,DUNEMPF1,DUNEMPF2,DUNEMPF3,mismatch,monthly,t
2/4/1993,0,2/4/1993,1,0,,0,-.02,-.039999999,-.02,,,0,-.0099999998,0,0,,,,,,,0,.0066900002,.0039400002,0,-.051309999,-.078019999,,-.02,-.10136531,1.3064291,6.5899062,-.34006011,-2.9773159,.17616761,,,,,,,,,,04feb93,01feb1993,12088,01feb1993,19930203,19930129,19930127,12087,1993.1,2.9,1.5,3.4,3.8,2.7,2.9,2.9,2.9,2.9,3,3,3.1,,,3.1,2.7,1.8,1.8,3.4,2.2,2.2,2.1,2.3,2,1.8,1.7,,,7.3,7.5,7.5,7.3,7.2,7.2,7.1,7,6.9,6.8,6.7,6.6,,,12082,132,.5,0,.2,.2,.30000001,-1,.2,0,-.2,-.1,0,-.1,0,0,0,0,1993m2,91
3/24/1993,0,3/24/1993,1,0,,-.0099999998,0,.0099999998,0,,,0,0,0,.039999999,,,,,,,.01239,.0033,.0077200001,.0052299998,-.084399998,-.14413001,,0,.51193565,1.4993114,3.0154214,-.15898462,2.0071716,.07016819,,,,,,,,,,24mar93,01mar1993,12136,01mar1993,19930323,19930317,19930317,12135,1993.1,2.9,1.5,3.4,4.8,3,2.7,2.8,2.9,2.9,2.9,2.9,2.9,,,3.1,2.7,1.8,2.2,3.5,2.6,2.2,2.2,2.2,2.2,2.3,2.1,,,7.3,7.5,7.5,7.3,7,7,6.9,6.9,6.8,6.8,6.6,6.6,,,12129,132,1,.30000001,-.2,-.1,0,.40000001,.1,.40000001,0,.1,0,-.2,-.2,-.2,-.1,0,1993m3,92
5/19/1993,0,5/19/1993,1,-.025830001,,-.0099999998,-.02,-.02,-.02,,,0,-.0099999998,-.02,-.029999999,,,,,,,-.02011,-.01319,-.01545,-.01857,.16628,.19366001,,-.02,-.11011504,1.7553754,-.96282339,-.23371713,2.8496737,.15086418,,,,,,,,,,19may93,01may1993,12192,01may1993,19930518,19930514,19930514,12191,1993.2,1.5,3.4,4.7,1.8,2,2.5,2.6,2.7,2.7,2.7,2.7,,,,2.7,1.8,2.3,3.3,2.2,2.2,2.4,2.4,2.4,2.5,2.2,,,,7.5,7.5,7.3,7,7,7,7,6.9,6.8,6.7,6.7,,,,12187,133,-1.2,-.69999999,-.30000001,-.30000001,-.2,-.2,-.40000001,0,.2,.2,0,0,.1,.1,.1,0,1993m5,93
7/8/1993,0,7/8/1993,1,.02696,,.02,0,0,0,,,0,-.0099999998,0,0,,,,,,,-.0155,-.0032800001,-.0075900001,-.0025299999,.31433001,.23544,,0,-.34832078,2.0578768,.32570472,-.74933422,2.5388546,.19140853,,,,,,,,,,08jul93,01jul1993,12242,01jul1993,19930707,19930630,19930630,12241,1993.2,1.5,3.4,4.7,.7,2.5,2.2,2.5,2.5,2.6,2.6,2.7,,,,,1.8,2.3,3.5,2.6,2.2,2.9,2.6,2.5,2.3,2.2,,,,7.5,7.5,7.3,7,7,7,6.9,6.9,6.9,6.8,6.8,,,,12234,133,-1.1,.5,-.30000001,-.1,-.2,.2,.40000001,0,.5,.2,0,0,0,-.1,0,0,1993m7,94
8/18/1993,0,8/18/1993,1,0,,0,.02,.0099999998,.0099999998,,,.0099999998,0,0,0,,,,,,,.01546,.00654,.0113,.00245,-.056930002,-.098540001,,.0099999998,-.013091559,2.0753438,3.0404849,-.59183717,.55707961,.23410343,,,,,,,,,,18aug93,01aug1993,12283,01aug1993,19930817,19930811,19930811,12282,1993.3,3.4,4.7,.7,1.6,2.3,2.4,2.8,2.3,2.4,2.4,,,,,1.8,2.3,3.5,2.4,2.5,3,2.5,2.6,2.3,2.2,,,,,7.5,7.3,7,7,6.9,6.9,6.9,6.8,6.8,6.8,,,,,12276,134,-.89999998,.1,-.1,.30000001,-.30000001,-.2,.30000001,.1,-.1,.1,0,-.1,0,0,-.1,0,1993m8,95
9/22/1993,0,9/22/1993,1,0,,0,0,.0099999998,.0099999998,,,0,.0099999998,.0099999998,-.02,,,,,,,.01547,.0065000001,.0074700001,.0096199997,.0022,-.01097,,.0099999998,-.46381864,2.2659669,2.0678205,-.28766114,-.087318644,.21552004,,,,,,,,,,22sep93,01sep1993,12318,01sep1993,19930921,19930915,19930915,12317,1993.3,3.4,5.7,.8,1.8,1.2,3.4,3,2.3,2.4,2.4,,,,,1.2,3.3,3.6,2.3,2.3,2.3,2.3,2.3,2.1,2,,,,,7.5,7.3,7,7,6.8,6.7,6.7,6.7,6.7,6.7,,,,,12311,134,.2,-1.1,1,.2,0,-.1,-.2,-.69999999,-.2,-.30000001,0,-.1,-.2,-.2,-.1,0,1993m9,96
11/17/1993,0,11/17/1993,1,.023080001,,.0099999998,0,.0099999998,0,,,-.0099999998,-.0099999998,-.0099999998,0,,,,,,,.00465,-.0097700004,-.01498,-.0072300001,.04721,-.085830003,,0,-.002124642,2.4450874,3.124979,-.27497205,-.5774436,.21655492,,,,,,,,,,17nov93,01nov1993,12374,01nov1993,19931116,19931110,19931110,12373,1993.4,5.7,.8,1.9,2.8,4,2.7,2.3,2.4,2.4,2.5,2.5,2.5,2.5,,3.3,3.6,2.3,1.5,2.5,2.6,2.5,2.1,2,2.3,2,1.9,1.9,,7.3,7,7,6.7,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.6,,12367,135,1.6,.60000002,-.30000001,0,0,-.80000001,.2,.30000001,.2,0,-.1,.1,0,0,0,0,1993m11,97
12/22/1993,0,12/22/1993,1,0,,0,-.0099999998,-.0099999998,-.0099999998,,,0,0,0,-.079999998,,,,,,,0,0,0,.0049700001,.01719,-.032120001,,-.0099999998,.04225504,2.5444739,2.2275057,.2095557,.52702713,.25575009,,,,,,,,,,22dec93,01dec1993,12409,01dec1993,19931221,19931215,19931215,12408,1993.4,5.7,.8,1.9,2.7,5,3.6,2,2.5,2.5,2.5,2.5,2.5,2.5,,3.3,3.6,2.3,1.6,2.3,2.7,2.6,2.4,2.1,2.4,2.1,2,2,,7.3,7,7,6.7,6.6,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.4,,12402,135,-.1,1,.89999998,-.30000001,.1,.1,-.2,.1,.1,.30000001,0,-.2,-.2,-.2,-.30000001,0,1993m12,98
2/4/1994,0,2/4/1994,1,.16333333,-.054780371,.14,.10001,.079999998,0,0,0,.13,.15000001,.14,.15000001,.13,.13,.13,.13,.14900017,,.1420002,.11199999,.073999882,.015999794,,,,0,-.30150083,2.4540117,2.585613,.05369908,6.9109235,.34087846,,,,,,,,.86530441,,04feb94,01feb1994,12453,01feb1994,19940204,19940131,19940128,12453,1994.1,.8,1.9,2.9,5.9,4,3,2.5,2.4,2.4,2.4,2.5,2.5,,,3.6,2.3,1.5,1.4,3,2.3,2.2,2.1,2.6,2.1,1.9,1.9,,,7,7,6.7,6.5,7,6.9,6.9,6.8,6.8,6.8,6.8,6.8,,,12449,136,.89999998,.40000001,1,0,-.1,-.89999998,.30000001,-.30000001,-.2,0,-.1,.5,.40000001,.5,.40000001,0,1994m2,99
3/22/1994,0,3/22/1994,1,0,-.088571429,0,-.039999999,-.039999999,0,0,0,-.050000001,-.050000001,-.029999999,-.039999999,-.050000001,-.050000001,-.050000001,-.050000001,-.020999908,,-.052000046,-.072999954,-.065999985,-.051000118,,,,0,.10778255,2.9036884,1.1160377,-.073339611,4.1598196,.29863846,,,,,,,,.22727273,,22mar94,01mar1994,12499,01mar1994,19940322,19940316,19940317,12499,1994.1,.8,1.9,2.9,7.5,3.2,2.5,2.7,2.4,2.3,2.3,2.4,2.4,,,3.6,2.3,1.5,1.2,2.5,2.5,2.3,2.2,2.8,2.2,2,1.9,,,7,7,6.7,6.5,6.5,6.6,6.8,6.6,6.6,6.6,6.6,6.6,,,12493,136,1.6,-.80000001,-.5,.2,0,-.2,-.5,.2,.1,.1,0,-.5,-.30000001,-.1,-.2,0,1994m3,100
